ano,mes,dia,hora,convidado,onde,
2016,8,8,09:30,José Carlos Xavier de Aquino,,
2016,8,8,10:00,Marcelo Almeida,Palácio do Planalto,
2016,8,8,10:30,Henrique Meirelles,,
2016,8,8,15:00,Dyogo Oliveira,,
2016,8,9,10:00,José Ivo Sartori - Governador do estado do Rio Grande do Sul,Palácio do Planalto,
2016,8,9,11:00,Cerimônia de lançamento do Programa de Revitalização da Bacia Hidrográfica do Rio São Francisco,Palácio do Planalto,
2016,8,9,14:30,Henrique Meirelles - Ministro da Fazenda,Palácio do Planalto,
2016,8,9,15:00,Senador Eunício Oliveira (PMDB/CE),Palácio do Planalto,
2016,8,9,15:45,Alexandre de Moraes - Ministro da Justiça e Cidadania,Palácio do Planalto,
2016,8,9,16:00,Antonio Andrade - vice-governador do estado de Minas Gerais e senador Romero Jucá (PMDB/RR),Palácio do Planalto,
2016,8,9,16:50,Senadora Lucia Vânia (PSB/GO),Palácio do Planalto,
2016,8,10,10:30,Deputado Ricardo Tripoli (PSDB/SP),Palácio do Planalto,
2016,8,10,11:00,Senador Eduardo Braga (PMDB/AM),Palácio do Planalto,
2016,8,10,13:00,"Eduardo Eugenio Gouvêa Vieira, presidente da Firjan e Paulo Skaf, presidente da Fiesp",Palácio do Planalto,
2016,8,10,15:00,Manoel David Korn de Carvalho - Prefeito do município de Tietê/SP,Palácio do Planalto,
2016,8,10,15:30,"Antonio Machado de Barros, presidente do Instituto Talento Brasil e grupo de colaboradores do Instituto",Palácio do Planalto,
2016,8,10,16:30,Mendonça Filho - Ministro da Educação,Palácio do Planalto,
2016,8,10,18:00,Ministra Laurita Vaz - vice-presidente do Superior Tribunal de Justiça-STJ,Palácio do Planalto,
2016,8,10,18:30,Senador Pedro Chaves (PSC/MS),Palácio do Planalto,
2016,8,10,19:00,Senador Dário Berger (PMDB/SC),Palácio do Planalto,
2016,8,11,10:30,Li Jinzhang - Embaixador da República Popular da China no Brasil,Palácio do Planalto,
2016,8,11,11:00,Encontro com representantes da Câmara Brasileira da Indústria da Construção - CBIC,Palácio do Planalto,
2016,8,12,11:00,Serzh Sargsyan - Presidente da Armênia,Palácio do Planalto,
2016,8,12,11:30,Rodrigo Rollemberg - governador do Distrito Federal,Palácio do Planalto,
2016,8,15,15:00,Dyogo Oliveira,,
2016,8,16,09:00,Conselho Nacional do Sesi,Palácio do Planalto,
2016,8,16,11:00,Deputado Waldir Maranhão (PP/MA) - vice-presidente da Câmara dos Deputados,Palácio do Planalto,
2016,8,16,15:00,Bruno Araújo - Ministro das Cidades,Palácio do Planalto,
2016,8,16,16:00,Senador Renan Calheiros,,
2016,8,16,16:45,Felipe Nasr - Piloto de Fórmula 1,Palácio do Planalto,
