ano,mes,dia,hora,quem,,onde,
2018,2,5,13:00,Senador Aécio Neves (PSDB/MG),,"
Palácio do Planalto",
2018,2,5,15:20,"Deputado Jorge Tadeu Mudalen (DEM/SP); Agenor Duque, Apóstolo Igreja Plenitude; Gustavo Henric Costa, Prefeito de Guarulhos/SP",,"
Palácio do Planalto",
2018,2,5,16:00,"João Raimundo Colombo, Governador de Santa Catarina",,"
Palácio do Planalto",
2018,2,5,16:30,"Wellington Moreira Franco, ministro-chefe da Secretaria-Geral da Presidência da República e Antonio Lavareda, cientista político",,"
Palácio do Planalto",
2018,2,5,20:00,"Senador Romero Jucá (MDB/RR), líder do Governo no Senado",,"
Palácio do Planalto",
2018,2,5,20:30,"Deputado Andre Moura (PSC/SE), líder do Governo no Congresso Nacional e Deputado Aguinaldo Ribeiro (PP/PB), líder do Governo na Câmara dos Deputados",,"
Palácio do Planalto",
2018,2,6,10:00,"Humberto Mota, Presidente da Dufry do Brasil ",,"
Palácio do Planalto",
2018,2,6,10:45,"João Henrique de Almeida Sousa, Presidente do Conselho Nacional do Sesi",,"
Palácio do Planalto",
2018,2,6,11:30,"Eliseu Padilha, ministro de Estado chefe da Casa Civil da Presidência da República; Henrique Meirelles, ministro de estado da Fazenda; Dyogo Oliveira, ministro de Estado do Planejamento, Desenvolvimento e Gestão; Moreira Franco, ministro de Estado chefe da Secretaria-Geral da Presidência da República; Carlos Marun, ministro de Estado chefe da Secretaria de Governo da Presidência da República",,"
Palácio do Planalto",
2018,2,6,13:00,"Deputado Aguinaldo Ribeiro (PP/PB), líder do Governo na Câmara dos Deputados, e Deputado André Moura (PSC/SE), líder do Governo no Congresso Nacional",,"
Palácio do Planalto",
2018,2,6,14:30,Deputado Arthur Maia (PPS/BA),,"
Palácio do Planalto",
2018,2,6,16:00,Senador Fernando Bezerra Coelho (MDB/PE),,"
Palácio do Planalto",
2018,2,6,17:30,Senador José Maranhão (MDB/PB),,"
Palácio do Planalto",
2018,2,6,17:45,"Sergio Etchegoyen, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",,"
Palácio do Planalto",
2018,2,6,18:00,"Ministro Ives Gandra da Silva Martins Filho, Presidente do Tribunal Superior do Trabalho; João Batista Brito Pereira, ministro do Tribunal Superior do Trabalho, e Lelio Bentes Corrêa, ministro do Tribunal Superior do Trabalho",,"
Palácio do Planalto",
2018,2,6,18:15,"Marcelo Almeida, ex-deputado Federal do Paraná",,"
Palácio do Planalto",
2018,2,6,18:30,"Sérgio Sá Leitão, ministro de Estado da Cultura",,"
Palácio do Planalto",
2018,2,6,18:45,"Ernesto Lozardo, Presidente do IPEA",,"
Palácio do Planalto",
2018,2,6,19:00,Solenidade de posse de Suas Excelências os Senhores Ministros Luiz Fux e Rosa Weber nos cargos de Presidente e Vice-Presidente do Tribunal Superior Eleitoral,,"
Brasília/DF",
2018,2,7,10:00,"Eliseu Padilha, ministro de estado chefe da Casa Civil da Presidência da República, Torquato Jardim, ministro de estado da Justiça e Segurança Pública, Raul Jungmann, ministro de estado da Defesa, Wellington Moreira Franco, ministro de estado chefe da Secretaria-Geral da Presidência da República, e Sergio Etchegoyen, ministro de estado chefe do Gabinete de Segurança Institucional da Presidência da República",,"
Palácio do Planalto",
2018,2,7,12:00,Deputado Marco Antônio Cabral (MDB/RJ),,"
Palácio do Planalto",
2018,2,7,13:00,Ex-Senador José Aníbal,,"
Palácio do Planalto",
2018,2,7,14:50,Deputado Takayama (PSC/PR),,"
Palácio do Planalto",
2018,2,7,16:25,"Osmar Terra, ministro de Estado do Desenvolvimento Social e Alcides Vicini, prefeito de Santa Rosa/RS",,"
Palácio do Planalto",
2018,2,7,17:20,"Aloysio Nunes, ministro de Estado das Relações Exteriores",,"
Palácio do Planalto",
2018,2,7,18:00,Deputado Beto Mansur (PRB/SP),,"
Palácio do Planalto",
2018,2,7,18:15,"Fernando Coelho Filho, ministro de Estado de Minas e Energia",,"
Palácio do Planalto",
2018,2,7,18:30,"Fernando Jordão, prefeito de Angra dos Reis/RJ",,"
Palácio do Planalto",
2018,2,7,18:45,"Gilberto Kassab, ministro de Estado da Ciência, Tecnologia, Inovações e Comunicações",,"
Palácio do Planalto",
